명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
대항선착장,46771,부산광역시 강서구 대항동 393-3(대항동),"부산 가장 남쪽에 위치한 대항선착장은 부산에서 가장 큰 섬 가덕도 안에 있다. 남해 바다와 접해 있고 여러 산이 연결되어 있어 부산 올레길인 갈맷길 5-2 코스로 트레킹을 하기도 좋다. 대항선착장 근처 대항동 일대는 러일전쟁(1904년)부터 태평양전쟁까지 일본군이 무려 41년간 군사 요새를 구축하고 주둔하였던 곳이다. 일본군이 조선인들을 강제로 징용해서 만든 인공동굴은 현재 관광자원으로 개발되었지만, 일제강점기 당시 아픈 역사의 흔적들이 남겨져 있다. 가덕도 대항항을 중심으로 숭어 축제가 열릴 때는 국내에서 유일하게 전해지는 160년 전통의 재래식 어로법인 '육수장망 숭어들이' 시연이 펼쳐진다. 근처엔 연대봉과 정거마을, 새바지항 등이 있어 함께 방문해 보길 추천한다.",,없음,"해상관광체험, 숭어들이선상관람체험, 선상낚시체험 등",체험별 상이,,상시개방,있음,없음,가능,,"입 장 료:없음 		

이용가능시설:인공동굴		

화장실:있음

"
하리선착장,,부산광역시 영도구 동삼동 764-7,"부산에 있는 40개의 섬 중에 가장 큰 섬인 영도에 있는 하리항에는 하리선착장과 하리방파제가 있으며, 하리항 일대가 2020년도 어촌 뉴딜 300 사업 최종 대상지로 선정되어 주차장 및 안내센터 설치, 산책로 조성 및 해양 낚시터 환경 개선 사업을 진행하고 있다. 하리선착장에서 배를 타고 가면  부산시 수협 동삼 어촌계가 운영하는 휴게 시설과 화장실 등을 갖춘 유어장(좌대) 해상 낚시터 4동이 유료로 운영되고 있으며, 100여 명이 한 번에 이용할 수 있다. 출항 시간과 철수 시간을 미리 숙지하고 이용해야 한다. 벵에돔, 감성돔, 쥐치, 놀래기 등 다양한 어종이 잡혀 전국 낚시인에게 입소문이 자자하다.",051-120,없음,,,,상시 개방(일출 후~일몰 전),있음,없음,가능,,"주차요금:없음

이용가능시설:낚시터, 휴게시설		

화장실:있음(남녀구분)

입 장 료:무료(낚시터등 유료시설은 별도)		

"
정란각/문화공감수정,48785,부산광역시 동구 홍곡로 75(수정동),"부산 동구 수정동에 있는 정란각은 1943년에 지어진 고급 일본식 건물로 문화재로 등재되어 있으며 최근 문화 공감 수정이라는 카페로 운영 중이다. 넓은 대지 안에 현관의 오른쪽에 위치한 벽돌로 지어진 부분을 제외한 대부분은 일본식 목조 주택이다. 현재 1층은 일부 온돌방으로 개조되었으나 2층에는 툇마루와 장마루를 설치한 복도와 다다미방이 원형대로 남아 있고, 실내에 사용 중인 도코노마, 명장지, 다다미, 일본식 창호 문양 등 세부적인 장식이 원형대로 보존되어 문화적 가치가 높은 곳이다. 유명 여가수 뮤직비디오 배경으로 나와 널리 알려진 정란각(문화 공감 수정)은 근대 문화유산으로의 가치를 인정받고, 역사적 흔적이 잘 보존되어 부산을 방문하는 관광객들에게 꼭 와봐야 하는 곳으로 소개되고 있다. 방문 시 내부 사정, 공사 등으로 휴관이 될 수 있으니 홈페이지 또는 전화 문의 후 방문해야 한다.",051-441-0740,매주 월요일,,,,10:00~17:00,불가,없음,불가,,"이용가능시설:카페 공간		

화장실:있음

한국어 안내서비스:있음

"
가덕도대항인공동굴,46771,부산광역시 강서구 대항동 393-9(대항동),"2차 세계대전 말에 일본군은 전력이 급강하하자 부산과 주변 해안에 미군 상륙작전을 대비하기 위한 방어시설을 구축하였는데 가덕도 대항마을의 인공동굴도 이와 같은 정세에서 조성된 것으로 보인다. 가덕도 대항 인공동굴은 현재 10여 개 정도 발견되었으며 탄광 노동자들을 데려와 만들었다고 전해진다. 형태는 I자, T자, L자형 동굴과 연결 복식 동굴이 있고, 내부 통로가 십자형으로 얽혀 있을 정도로 긴 동굴도 있다. 동굴 내부에 당시 상황을 이해하기 쉽게 조형물로 표현해 놓아 가슴 아픈 역사의 흔적을 되짚어 볼 수 장소이다.",강서구청 문화체육과 051-970-4062,없음,,,,10:00 ~ 20:00,있음,없음,가능,,"입 장 료:없음		

화장실:있음

"
월전장어구이촌,,부산광역시 기장군 기장읍 죽성리 154-21,기장 월전마을에 들어서면 장어구이집이 늘어서 있고 주차장을 낀 월전 활어판매장이 보인다. 이 근방의 장어구이 식당을 통칭하여 월전 장어 구이촌이라고 한다. 활어판매장에서는 그날 잡은 싱싱한 바닷장어(붕장어)들을 판매한다. 마음에 드는 매장에서 장어를 고르면 판매장 밖에 늘어선 포장마차들 중 구입한 매장 상호와 같은 포차에서 숯불에 구워 먹을 수 있다. 바다가 보이는 허름한 포장마차이지만 이 장어구이의 냄새와 어촌 분위기를 잊지 못해 다시 찾는 이가 많다. 상차림비만 내면 숯과 불판이 무한 제공되고 먹고 싶은 만큼 활어판매장에서 구매해 먹을 수 있다. 얼큰한 매운탕도 장어구이와 함께 먹기에 좋다.,051-724-0244,명절휴무,,,,00:00 ~ 24:00,,없음,없음,,
금정산성 막걸리,46237,부산광역시 금정구 산성로 453(금성동),"부산의 대표 전통주 금정산성막걸리를 만드는 양조장으로 대한민국 최초 막걸리분야 식품 명인이 만든다. 해발 400m 금정산 기슭의 기후와 맑은 물, 직접 만든 500년 전통의 족타식 누룩이 빚은 막걸리이다. 유래는 조선시대로 거슬러 올라가며 전통양조방식을 그대로 따라 전국의 막걸리 중 유일하게 향토 민속주로 지정되었다. 막걸리는 온, 오프라인 매장에서 판매되고 있으며 현장에서 구매할 경우 할인 혜택을 받는다. 5인 이상의 단체가 예약하면 현장 견학은 물론 양조장에서 직접 누룩 딛기와 빚기, 막걸리 빚기, 막걸리 거르기 등의 체험을 해볼 수 있다.",051-517-6552,,"누룩 딛기체험, 막걸리 빚기, 막걸리 거르기 등 (2주 전 예약필수) <br>
체험비 5인 이상 예약가능 / 체험종류에 따라 1인 10,000~40,000원 <br>
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,08:30 ~ 18:00 (월요일 ~ 금요일),주차가능,없음,없음,,
화전공원,46738,부산광역시 강서구 화전산단5로 84(화전동),"부산 강서구 화전동에 있는 공원이다. 1995년 부산직할시가 부산광역시로 승격되면서 부산광역시 강서구 화전동 화전 마을이 되어 현재에 이른다. 화전공원은 부산도시개발공사가 2009년 3월 4일부터 400일 동안 1,305백만 원을 투자하여 감리자 길평(주) 외 1사, 시공자 (주) 그린엘 조경 외 1사 등 2천 800명으로부터 도움받아 화전지구 중 16,112㎡의 토지에 2만 4천 그루의 나무를 심어 조성했다. 부산 시민과 화전산업단지에 근무하는 근로자의 소중한 휴식공간이 되고 있다.",051-970-4531,,,,,상시이용,가능 (약 25대),없음,가능,,"화장실:가능 (남, 녀구분)
이용가능시설:쉼터, 주차장, 화장실
이용가능시설:운동기구, 축구장
"
델타루 (에코델타시티 전망대),,부산광역시 강서구 대저2동 5438-3,"에코델타시티는 국가하천 주변을 체계적이고 계획적인 개발을 통해 하천 중심의 미래 지향적인 수변도시를 조성하기 위해 부산 신항만, 김해국제공항, 신항 배후철도, 남해고속도로 등 우수한 광역 교통 체계와 지정학적 위치를 활용한 거점지역 육성으로 부산권 경제 활성화 및 미래 신성장 동력 구축하기 위해  조성했다. 수변 중심의 고품격 친수 주거환경과 주거ㆍ상업ㆍ업무ㆍ예술ㆍ문화가 어우러지는 복합 수변공간 조성으로 하천 중심의 다양한 미래 여가ㆍ문화공간을 제공하며 정부의 「포트 비즈니스 밸리」계획과 부산 「국제 산업물류도시」계획을 반영한 복합 물류ㆍ산업 중심 글로벌 거점 도시를 조성하기 위해 부산광역시, K-water, 부산도시공사가 공동으로 참여해 건설했다.",051-220-0713,일요일,,,,"평일, 토요일 10:00 ~ 17:00",가능 (소형 약 20여대),없음,불가,,"이용가능시설:주차장, 화장실
화장실:가능 (남녀구분)
이용가능시설:전망대, 전시관
"
캐니언파크 부산,48400,부산광역시 남구 전포대로 133(문현동),"캐니언파크는 국내 최대 애니멀 테마크로서 실내 동물원은 물론 실내낚시터, 실내카약장, AR뮤지엄, 미디어아트존, 트램플린, 정글짐 등 다양한 시설을 갖추고 있는 실내 테마파크이다. 사계절 날씨와 상관없이 연인, 가족, 어른, 아이 누구나 즐거운 시간을 보낼 수 있다. 신비한 동물 친구들이 모여있는 캐니언파크는 50여 종 200여 마리의 다양한 동물과 교감하고 만져보면서 먹이 주기 체험까지 할 수 있어 인기 만점이다. 입장권을 구매하면 평일은 시간제한 없이 이용 가능하고 토, 일, 공휴일의 경우 3시간 제한이 있으며 초과 시 추가금이 발생한다. 또한 외부 음식과 반려동물 및 유모차는 반입금지이며 유모차는 입구 옆 지정보관소에서 보관할 수 있고 지하주차장 이용 시 에스컬레이터를 이용하면 빠른 이동이 가능하다.",051-710-1022,화요일,동물먹이주기체험,,,평일 11:30 - 19:00 /주말 및 공휴일 11:30 - 20:00,있음(지하주차장),없음,불가,,"이용가능시설:동물원, 낚시터, 카약장, AR뮤지엄, 미디어아트존, 트램플린, 정글짐 등 		

주차요금:없음

화장실:있음(남녀 구분)

입 장 료:힘내라! 영스타!(중/고등학생) 8,900원(36개월 미만 무료)		

"
롯데월드 어드벤처 부산,46083,부산광역시 기장군 동부산관광로 42,"마법과 환상의 세계! 롯데월드 어드벤처가 부산에서 개장했다. 숲속의 청량함과 짜릿한 스릴감을 완벽하게 즐길 수 있도록 준비되어 있다. '놀이공원'하면 떠오르는 언제나 즐겁고 신나는 공연 그리고 퍼레이드를 경험할 수 있다. 
부산롯데월드는 대한민국 제 2의 도시라고 불리는 부산에 세워진데다 대중교통을 이용한 접근성도 편리해 개장 첫날부터 끊임없는 발길이 이어지고 있다. 롯데월드 부산은 6개의 테마존으로 꾸려져 있다. 요정 마을 팅커폴스 존 중심에 토킹트리가 있는데 이 나무는 애니매트로닉스 기술이 적용되어 파크 내 6개 테마에 대한 이야기를 들려준다. 롯데월드 내 가장 높은 곳에 위치한 로얄가든 존의 로리캐슬은 물에 떠있는 듯한 모습으로 연출되어 있으며 부산의 전경과 함께 기장 앞 바다를 한눈에 즐길 수 있다. 이외의 놀이 기구들 특히 자이언트 디거, 자이언트 스플래쉬 등 대표 어트랙션은 그 짜릿함이 벌써 입소문을 타고 있다. 
이렇게 어른들을 위한 어트랙션 뿐만 아니라 유아를 동반한 가족 이용객을 위한 놀이 기구도 준비되어 있다. 날씨와 관계 없이 아이와 안전하게 즐길 수 있도록 실내에 배치되어 있다. 놀이공원의 하이라이트라고 할 수 있는 퍼레이드는 하루에 2번, 약 30분간 진행된다.",1661-2000,연중무휴,,,,10:00 ~ 21:00,주차가능,,,,":
:
주차요금:- 최소 60분 : 1,400원<br> 
- 이후 30분 당 : 700원 <br> 
- 일 최대	3,000원<br> 
[사전 정산]<br>  
최소 60분 : 1,400<br> 
- 이후 30분당 : 700원<br> 
- 일 최대 : 4,000원<br> 
[출구 정산]<br> 
- 최소 60분 : 2,000원<br> 
- 이후 30분당 : 1,000원<br> 
- 일 최대 : 6,000원<br> 
[일반 주차]<br> 
- (파크 미 이용) 기본 60분 : 6,000원<br> 
- 추가 30분 : 3,000원<br> 
- 일 최대 금액	: 30,000원<br> 
- 발렛 : 15,000원<br> 
* 입차 후 30분 이내 출차시 무료
이용가능시설:손님상담실 / 유모차 대여소 / 휠체어 대여소 / 의무시 / 흡연실<br> 
수유실 / 물품보관소 / 휴대폰 충전소 / 인포메이션 / 파크 내 무인발권기
입 장 료:[종일권]<br> 
어른 47,000원 / 청소년 39,000원<br>
/ 어린이·경로 33,000원 / 베이비 12,000원<br>
[오후권]<br>
어른 33,000원 / 청소년 31,000원<br>
/ 어린이·경로 29,000원 / 베이비 12,000원
:
"
용호별빛공원,48576,부산광역시 남구 분포로 66-40,"30년 만에 주민들의 품으로 돌아온 주민친화형 힐링 휴식 공간 용호별빛공원
용호별빛공원은 2019.2월 광안대교 선박 충돌 사고 후 폐쇄된 용호부두를 주민들에게 환원하기 위해
관련 기관과 적극적인 협의로 방치된 공간을 친수공원으로 조성하여 2021.7월 개장. ※ 공원면적 16,450㎡",051-607-4042,연중무휴,미디어 아트(예정),,,"평상시) 일요일~목요일 09:00~21:00 / 금요일~토요일 09:00~22:00
동절기) 월요일~일요일 09:00~21:00",없음,,,,":
:
시설이용료:무료
관 람 료:무료
이용가능시설:"" 잔디광장(1,709㎡), 화장실, 파고라(2), 벤치(31), 그늘막(20), 운동기구(4),
 글자 및 트램조형물, 
 ※ 조성 예정(2022.하반기) : 어린이물놀이시설, 미디어 아트존, 전망 휴게홀, 야관 경관조명 등 ""		
:
"
동래온천길(온천천 산책코스),47900,"부산광역시 동래구 온천천로 451도시철도 온천장역(부산광역시 동래구 중앙대로 1520), 도시철도 동래역(부산광역시 동래구 중앙대로 1324), 온천천 카페거리(부산광역시 동래구 온천천로 451)","동래온천길은 동래 온천천 산책길을 걸으며, 동래구의 주요 관광지(온천장, 명륜1번가, 온천천 카페거리)를 함께 즐길 수 있는 산책코스입니다. 비교적 짧은 거리(5.65.km)의 스탬프 투어(완주 코스, 만끽코스)를 상시 운영 중이니, 가볍게 즐기시고 온천천과 동래구 주요 관광명소도 함께 만나 보시기 바랍니다.<br>
1. 완주코스: 온천장, 명륜1번가, 온천천 카페거리를 모두 경유하여, 스탬프를 찍고 동래구 문화관광 홈페이지에 인증하면 기념품(온천수 비누 및 핸드크림) 증정<br>
2. 만끽코스: 코스 2개(온천장·명륜1번가 또는 명륜1번가·온천천 카페거리 등) 인증 및 각 관광지(온천장, 명륜1번가, 온천천 카페거리) 상가 이용 영수증(1인당 15,000원 이상)을 인증하면 기념품(온천수 비누 및 핸드크림) 증정<br>",051-550-4092,없음,동래온천길 스탬프투어,,,연중 계속,없음(도시철도 온천장역·동래역 및 동해남부선 안락역 공영주차장 이용 가능),,가능,,":
:
입 장 료:무료

:
"
